Item Name,SNo,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D],Month_File,District,Source_File
M15 [Laboratory Testing],15.3.3.b,"Out of the above, number screened positive",TOTAL,6,6,,3,3,0,0,,0,0,0,0,,0,0,1,1,,1,0,1,1,,1,0,2,2,,,2,0,0,,0,0,1,1,,,1,1,1,,1,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M15 [Laboratory Testing],15.3.3.c,"Out of the above number screened positive, number confirmed with HIV infection at Integrated Counselling and Testing Centre (ICTC)",TOTAL,5,5,,4,1,0,0,,0,0,0,0,,0,0,3,3,,3,0,1,1,,1,0,1,1,,,1,0,0,,,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M15 [Laboratory Testing],15.3.4.a,Number of Male STI/RTI attendees tested for syphilis,TOTAL,6,6,,0,6,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,6,6,,0,6,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M15 [Laboratory Testing],15.3.4.b,Number of Male STI/RTI attendees found sero Positive for syphilis,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M15 [Laboratory Testing],15.3.4.c,Number of Female (Non ANC)STI/RTI attendees tested for syphilis,TOTAL,3,3,,3,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,3,3,,3,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M15 [Laboratory Testing],15.3.4.d,Number of Female (Non ANC) STI/RTI attendees found sero Positive for syphilis,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M15 [Laboratory Testing],15.4.1,Widal tests - Number Tested,TOTAL,527,527,,386,141,10,10,,10,0,167,167,,118,49,60,60,,60,0,19,19,,19,0,33,33,,,33,25,25,,25,0,1,1,,,1,86,86,,86,0,64,64,,64,0,26,26,,,26,32,32,,,32,4,4,,4,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M15 [Laboratory Testing],15.4.2,Widal tests - Number Positive,TOTAL,45,45,,38,7,0,0,,0,0,15,15,,15,0,12,12,,12,0,2,2,,2,0,1,1,,,1,0,0,,0,0,0,0,,,0,0,0,,0,0,9,9,,9,0,0,0,,,0,6,6,,,6,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M15 [Laboratory Testing],15.5.1,Radiology - X-ray,TOTAL,1210,1210,,867,343,0,0,,0,,145,145,,145,0,,,,,,0,0,,0,0,307,307,,,307,152,152,,152,,0,0,,,0,554,554,,554,0,16,16,,16,,0,0,,,0,36,36,,,36,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M15 [Laboratory Testing],15.5.2,Radiology - Ultrasonography (USG),TOTAL,19,19,,19,0,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,,19,19,,19,,,,,,,,,,,,,,,,,,,,,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.1,Infant deaths within 24 hrs(1 to 23 Hrs) of birth,TOTAL,6,6,,0,6,3,3,,0,3,0,0,,0,0,1,1,,0,1,0,0,,0,0,1,1,,,1,1,1,,0,1,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.2.1,Infant Deaths up to 4 weeks due to Sepsis,TOTAL,3,3,,3,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,3,3,,3,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.2.2,Infant Deaths up to 4 weeks due to Asphyxia,TOTAL,3,3,,2,1,1,1,,0,1,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,2,2,,2,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.2.3,Infant Deaths up to 4 weeks due to Other causes,TOTAL,44,44,,35,9,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,1,1,,,1,0,0,,0,0,3,3,,,3,2,2,,0,2,0,0,,0,0,3,3,,,3,0,0,,,0,35,35,,35,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.3.1,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,2,2,,0,2,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,1,1,,,1,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,1,1,,,1,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.3.2,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.3.3,Number of Infant Deaths (1 -12 months) due to Fever related,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.3.4,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.3.5,Number of Infant Deaths (1 -12 months) due to Others,TOTAL,8,8,,0,8,1,1,,0,1,1,1,,0,1,0,0,,0,0,0,0,,0,0,2,2,,,2,0,0,,0,0,2,2,,,2,0,0,,0,0,1,1,,0,1,0,0,,,0,1,1,,,1,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.4.1,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.4.2,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.4.3,Number of Child Deaths (1 -5 years) due to Fever related,TOTAL,1,1,,0,1,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,1,1,,,1,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.4.4,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.4.5,Number of Child Deaths (1 -5 years) due to Others,TOTAL,7,7,,0,7,1,1,,0,1,1,1,,0,1,0,0,,,0,0,0,,0,0,2,2,,,2,0,0,,0,0,0,0,,,0,1,1,,0,1,2,2,,0,2,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.5.1,Number of Maternal Deaths due to Bleeding,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.5.2,Number of Maternal Deaths due to High fever,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.5.3,Number of Maternal Deaths due to Abortion,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.5.4,Number of Maternal Deaths due to Obstructed/prolonged labour,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.5.5,Number of Maternal Deaths due to Severe hypertesnion/fits,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.5.6,Number of Maternal Deaths due to Other Causes (including causes not known),TOTAL,1,1,,1,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,1,1,,1,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.6,Total Facility Based Maternal Death Reviews (FBMDR) done,TOTAL,0,0,,0,0,0,0,,0,,0,0,,0,0,,,,,,0,0,,0,0,0,0,,,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,0,,0,,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.7.1,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.7.2,Number of Adolscent / Adult deaths due to Tuberculosis,TOTAL,6,6,,0,6,1,1,,0,1,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,1,1,,,1,3,3,,0,3,0,0,,0,0,1,1,,,1,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.7.3,Number of Adolscent / Adult deaths due to Respiratory diseases including infections (other than TB),TOTAL,15,15,,0,15,2,2,,0,2,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,3,3,,,3,5,5,,0,5,3,3,,0,3,1,1,,,1,1,1,,,1,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.7.4,Number of Adolscent / Adult deaths due to Other Fever Related,TOTAL,1,1,,0,1,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,1,1,,0,1,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.7.5,Number of Adolscent / Adult deaths due to HIV/AIDS,TOTAL,5,5,,0,5,3,3,,0,3,0,0,,0,0,1,1,,0,1,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,1,1,,,1,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.7.6,Number of Adolscent / Adult deaths due to Heart disease/Hypertension related,TOTAL,79,79,,0,79,9,9,,0,9,10,10,,0,10,4,4,,0,4,0,0,,0,0,18,18,,,18,1,1,,0,1,5,5,,,5,16,16,,0,16,14,14,,0,14,1,1,,,1,1,1,,,1,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.7.7,Number of Adolscent / Adult deaths due to Cancer,TOTAL,32,32,,0,32,2,2,,0,2,12,12,,0,12,0,0,,0,0,0,0,,0,0,2,2,,,2,0,0,,0,0,4,4,,,4,10,10,,0,10,2,2,,0,2,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.7.8,Number of Adolscent / Adult deaths due to Neurological disease including strokes,TOTAL,8,8,,0,8,5,5,,0,5,0,0,,0,0,0,0,,0,0,0,0,,0,0,2,2,,,2,0,0,,0,0,0,0,,,0,1,1,,0,1,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.7.9,Number of Adolscent / Adult deaths due to Accidents/Burn cases,TOTAL,19,19,,1,18,2,2,,0,2,1,1,,0,1,3,3,,0,3,1,1,,1,0,2,2,,,2,1,1,,0,1,1,1,,,1,5,5,,0,5,2,2,,0,2,1,1,,,1,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.7.10,Number of Adolscent / Adult deaths due to Suicide,TOTAL,16,16,,0,16,4,4,,0,4,2,2,,0,2,1,1,,0,1,0,0,,0,0,2,2,,,2,0,0,,0,0,2,2,,,2,3,3,,0,3,2,2,,0,2,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.7.11,Number of Adolscent / Adult deaths due to Animal bites and stings,TOTAL,2,2,,0,2,0,0,,0,0,0,0,,0,0,1,1,,0,1,0,0,,0,0,0,0,,,0,0,0,,0,0,1,1,,,1,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.7.12,Number of Adolscent / Adult deaths due to Known Acute Disease,TOTAL,31,31,,0,31,8,8,,0,8,2,2,,0,2,0,0,,0,0,0,0,,0,0,6,6,,,6,0,0,,0,0,2,2,,,2,8,8,,0,8,0,0,,0,0,0,0,,,0,5,5,,,5,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.7.13,Number of Adolscent / Adult deaths due to Known Chronic Disease,TOTAL,72,72,,0,72,21,21,,0,21,11,11,,0,11,0,0,,0,0,0,0,,0,0,11,11,,,11,0,0,,0,0,8,8,,,8,9,9,,0,9,7,7,,0,7,2,2,,,2,3,3,,,3,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.7.14,Number of Adolscent / Adult deaths due to Causes not known,TOTAL,267,267,,0,267,21,21,,0,21,45,45,,0,45,17,17,,0,17,1,1,,0,1,60,60,,,60,15,15,,0,15,29,29,,,29,33,33,,0,33,25,25,,0,25,16,16,,,16,5,5,,,5,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.8.1,Number of Deaths due to Malaria- Plasmodium Vivax,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.8.2,Number of Deaths due to Malaria- Plasmodium Falciparum,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.8.3,Number of Deaths due to Kala Azar,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.8.4,Number of Deaths due to Dengue,TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.8.5,Number of Deaths due to Acute Encephelitis Syndrome (AES),TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M16 [Details of deaths reported with probable causes:],16.8.6,Number of Deaths due to Japanese Encephalitis (JE),TOTAL,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,,0,,Jul,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-for-Jul.csv
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,72667,72667,0,21382,51285,5298,5298,,688,4610,5218,5218,,1449,3769,3527,3527,,416,3111,4937,4937,,186,4751,7332,7332,,,7332,3137,3137,,427,2710,4465,4465,,,4465,8164,8164,,2611,5553,4409,4409,,190,4219,6646,6646,0,23,6623,4142,4142,,,4142,15392,15392,,15392,,Jan,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Jan.csv
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,50005,50005,0,8160,41845,4212,4212,,345,3867,4426,4426,,1040,3386,2368,2368,,95,2273,4044,4044,,54,3990,6053,6053,,,6053,2299,2299,,131,2168,3366,3366,,,3366,4979,4979,,459,4520,3332,3332,,70,3262,5333,5333,0,6,5327,3633,3633,,,3633,5960,5960,,5960,,Jan,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Jan.csv
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,47828,46913,915,15322,32506,3181,3181,,372,2809,3991,3991,,1036,2955,2445,2445,,129,2316,4145,4145,,184,3961,5114,5114,,,5114,1831,1831,,169,1662,2827,2827,,,2827,3957,3957,,556,3401,2667,2667,,90,2577,2644,1729,915,14,2630,2254,2254,,,2254,12772,12772,,12772,,Jan,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Jan.csv
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,40164,39512,652,12870,27294,1759,1759,,344,1415,3376,3376,,795,2581,2113,2113,,89,2024,3577,3577,,95,3482,4226,4226,,,4226,1517,1517,,104,1413,2427,2427,,,2427,3645,3645,,617,3028,2459,2459,,95,2364,2248,1596,652,3,2245,2089,2089,,,2089,10728,10728,,10728,,Jan,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Jan.csv
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,20990,20807,183,2490,18500,2063,2063,,257,1806,1391,1391,,326,1065,968,968,,76,892,1174,1174,,67,1107,3151,3151,,,3151,1071,1071,,64,1007,1531,1531,,,1531,2792,2792,,366,2426,1747,1747,,35,1712,1853,1670,183,1,1852,1951,1951,,,1951,1298,1298,,1298,,Jan,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Jan.csv
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,56583,56120,463,12829,43754,5219,5219,,624,4595,4335,4335,,1262,3073,2115,2115,,195,1920,3667,3667,,186,3481,7218,7218,,,7218,2675,2675,,386,2289,3815,3815,,,3815,7044,7044,,2358,4686,3303,3303,,197,3106,6300,5837,463,19,6281,3290,3290,,,3290,7602,7602,,7602,,Jan,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Jan.csv
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,38770,38066,704,6194,32576,5138,5138,,558,4580,2564,2564,,1319,1245,1894,1894,,190,1704,2372,2372,,186,2186,4877,4877,,,4877,1664,1664,,386,1278,2193,2193,,,2193,6857,6857,,2515,4342,2151,2151,,160,1991,5617,4913,704,19,5598,2582,2582,,,2582,861,861,,861,,Jan,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Jan.csv
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,16663,16592,71,1230,15433,2891,2891,,281,2610,773,773,,0,773,537,537,,120,417,167,167,,0,167,3367,3367,,,3367,1238,1238,,0,1238,1613,1613,,,1613,2137,2137,,0,2137,1241,1241,,40,1201,480,409,71,3,477,1433,1433,,,1433,786,786,,786,,Jan,Solapur,hmis-item-17-18-mn-sd-mah-Solapur-Jan.csv
